Datetime,PM_88,AOD_88,Temp_88,Humi_88,PM_96,AOD_96,Temp_96,Humi_96,PM_76,AOD_76,Temp_76,Humi_76,PM_88_r1,AOD_88_r1,Temp_88_r1,Humi_88_r1,PM_88_r2,AOD_88_r2,Temp_88_r2,Humi_88_r2,PM_88_r3,AOD_88_r3,Temp_88_r3,Humi_88_r3
2013-05-25,7.238095238,0.101516662,76.779167,34.416667,11.86363636,0.223456999,76.033333,31.916667,9.835416667,0.521935979,67.854545,56.727273,7.238095238,0.101516662,76.779167,34.416667,7.238095238,0.101516662,76.779167,34.416667,7.238095238,0.101516662,76.779167,34.416667
2013-05-26,8.375,0.162489136,74.695833,48.5,13.54166667,0.719154514,76.320833,40.291667,10.67391304,0.663162535,65,64.714286,8.375,0.162489136,74.695833,48.5,8.375,0.162489136,74.695833,48.5,8.375,0.162489136,74.695833,48.5
2013-05-27,17.5,0.505659445,73.9625,60.625,25.54166667,0.566307025,75.491667,54.458333,15.90833333,1.256382671,64.191304,71.608696,17.5,0.505659445,73.9625,60.625,17.5,0.505659445,73.9625,60.625,17.5,0.505659445,73.9625,60.625
2013-05-28,17.5,0.758634701,70.904167,72.583333,28.70833333,0.40778415,70.104167,72.583333,15.14583333,0.562811062,62.2625,77.666667,17.5,0.758634701,70.904167,72.583333,17.5,0.758634701,70.904167,72.583333,17.5,0.758634701,70.904167,72.583333
2013-05-29,14.95833333,0.265765455,69.770833,75.875,28.83333333,0.40778415,69.345833,74.25,9.916666667,0.562811062,62.208696,78.217391,14.95833333,0.265765455,69.770833,75.875,14.95833333,0.265765455,69.770833,75.875,14.95833333,0.265765455,69.770833,75.875
2013-05-30,14.95833333,0.593227842,75.120833,64.625,26.15,0.650947422,74.904167,63.708333,11.85625,0.562811062,67.004762,68.285714,14.95833333,0.593227842,75.120833,64.625,14.95833333,0.593227842,75.120833,64.625,14.95833333,0.593227842,75.120833,64.625
2013-05-31,11.91666667,0.344852003,73.983333,61.708333,20.80416667,0.71241963,74.491667,58.083333,10.44583333,1.018964626,66.45,67.6,11.91666667,0.344852003,73.983333,61.708333,11.91666667,0.344852003,73.983333,61.708333,11.91666667,0.344852003,73.983333,61.708333
2013-06-01,9.375,0.37777005,72.508333,64.375,15.58333333,0.502139617,75.1125,53.25,7.858333333,0.494219433,63.947368,72.473684,9.375,0.37777005,72.508333,64.375,9.375,0.37777005,72.508333,64.375,9.375,0.37777005,72.508333,64.375
2013-06-02,10.93333333,0.309206762,72.966667,63.583333,19.45833333,0.441483586,75.854167,55.416667,10.70869565,0.594912903,63.719048,70.714286,10.93333333,0.309206762,72.966667,63.583333,10.93333333,0.309206762,72.966667,63.583333,10.93333333,0.309206762,72.966667,63.583333
2013-06-03,12.66666667,0.265765455,73.0625,64.833333,23.20833333,0.40778415,73.104167,62.958333,10.57083333,0.49207136,64.780952,69.52381,12.66666667,0.265765455,73.0625,64.833333,12.66666667,0.265765455,73.0625,64.833333,12.66666667,0.265765455,73.0625,64.833333
2013-06-04,15.30833333,0.386542999,73.320833,64.541667,25.25,0.572316945,74.379167,61,11.99583333,0.824072276,64.41,69.45,15.30833333,0.386542999,73.320833,64.541667,15.30833333,0.386542999,73.320833,64.541667,15.30833333,0.386542999,73.320833,64.541667
2013-06-05,15.66666667,0.185826444,69.754167,69.958333,24.33333333,0.340927336,69.9,66.375,8.79375,0.760737311,61.613043,73.391304,15.66666667,0.185826444,69.754167,69.958333,15.66666667,0.185826444,69.754167,69.958333,15.66666667,0.185826444,69.754167,69.958333
2013-06-06,16.08333333,0.091636498,70.725,61.333333,22.29166667,0.365778938,69.4375,63.625,9.491666667,0.486642865,62.917391,64.173913,16.08333333,0.091636498,70.725,61.333333,16.08333333,0.091636498,70.725,61.333333,16.08333333,0.091636498,70.725,61.333333
2013-06-07,11.41666667,0.136574523,69.820833,63.875,18.36666667,0.247373185,69.741667,60.208333,9.6,0.43119503,62.731818,66.590909,11.41666667,0.136574523,69.820833,63.875,11.41666667,0.136574523,69.820833,63.875,11.41666667,0.136574523,69.820833,63.875
2013-06-08,14.20833333,0.139927293,67.441667,69.791667,24.79166667,0.255697703,66.645833,67.5,16.35,0.450342774,61.263636,69.590909,14.20833333,0.139927293,67.441667,69.791667,14.20833333,0.139927293,67.441667,69.791667,14.20833333,0.139927293,67.441667,69.791667
2013-06-09,17.625,0.138534676,68.529167,65.416667,27.875,0.385523315,66.55,66.625,19.18333333,0.834228108,62.086957,67.956522,17.625,0.138534676,68.529167,65.416667,17.625,0.138534676,68.529167,65.416667,17.625,0.138534676,68.529167,65.416667
2013-06-10,15.99166667,0.393911478,70.441667,64.166667,24.45833333,0.686612595,69.054167,62.625,14.50208333,0.562811062,63.056522,68.434783,15.99166667,0.393911478,70.441667,64.166667,15.99166667,0.393911478,70.441667,64.166667,15.99166667,0.393911478,70.441667,64.166667
2013-06-11,22.25,0.376515819,71.15,64.166667,25.95833333,0.594327029,69.004167,66.375,16.95833333,0.642267788,63.342857,69.047619,22.25,0.376515819,71.15,64.166667,22.25,0.376515819,71.15,64.166667,22.25,0.376515819,71.15,64.166667
2013-06-12,19.5,0.38636575,70.25,67.291667,26.34583333,0.506341141,70.591667,61.541667,22.35,0.460643522,62.185714,72.380952,19.5,0.38636575,70.25,67.291667,19.5,0.38636575,70.25,67.291667,19.5,0.38636575,70.25,67.291667
2013-06-13,16.45,0.14625636,70.9125,61.291667,23.06666667,0.156229827,72.179167,53.041667,20.7625,0.367375634,61.844444,71,16.45,0.14625636,70.9125,61.291667,16.45,0.14625636,70.9125,61.291667,16.45,0.14625636,70.9125,61.291667
2013-06-14,12.31666667,0.182108756,70.475,59.916667,21.125,0.271480777,69.716667,58.958333,11.79166667,0.616126142,62.021739,68.565217,12.31666667,0.182108756,70.475,59.916667,12.31666667,0.182108756,70.475,59.916667,12.31666667,0.182108756,70.475,59.916667
2013-06-15,13.13636364,0.218310367,69.108333,65.125,17.15833333,0.305676261,68.8375,59.291667,10.47916667,0.479658248,61.275,70.15,13.13636364,0.218310367,69.108333,65.125,13.13636364,0.218310367,69.108333,65.125,13.13636364,0.218310367,69.108333,65.125
2013-06-16,11.90833333,0.434566406,70.5375,61.875,17.35833333,0.472263433,70.4375,56.5,8.291666667,0.962372096,62.571429,68.619048,11.90833333,0.434566406,70.5375,61.875,11.90833333,0.434566406,70.5375,61.875,11.90833333,0.434566406,70.5375,61.875
2013-06-17,10.18181818,0.154467211,69.033333,58.458333,17.3,0.315051649,67.6125,60.416667,9.429166667,0.44094034,61.175,70.3,10.18181818,0.154467211,69.033333,58.458333,10.18181818,0.154467211,69.033333,58.458333,10.18181818,0.154467211,69.033333,58.458333
2013-06-18,13.95833333,0.229780308,68.829167,60.291667,21.075,0.207462787,66.9,64.666667,11.62083333,0.420395409,61.347826,69.782609,13.95833333,0.229780308,68.829167,60.291667,13.95833333,0.229780308,68.829167,60.291667,13.95833333,0.229780308,68.829167,60.291667
2013-06-19,15.04166667,0.21133758,70.316667,62.916667,22.41666667,0.275323479,70.1375,58.958333,16.52708333,0.467019746,62.514286,69.428571,15.04166667,0.21133758,70.316667,62.916667,15.04166667,0.21133758,70.316667,62.916667,15.04166667,0.21133758,70.316667,62.916667
2013-06-20,14.33333333,0.370307009,71.256522,63.652174,21.58333333,0.204887796,71.245833,59.375,11.2,0.204887796,62.277273,71.681818,14.33333333,0.370307009,71.256522,63.652174,14.33333333,0.370307009,71.256522,63.652174,14.33333333,0.370307009,71.256522,63.652174
2013-06-21,20.16666667,0.116219652,72.952174,62.652174,26.37083333,0.371074332,73.320833,60.041667,15.5,0.833996942,63.190476,71.761905,20.16666667,0.116219652,72.952174,62.652174,20.16666667,0.116219652,72.952174,62.652174,20.16666667,0.116219652,72.952174,62.652174
2013-06-22,22.29166667,0.321666438,73.308696,66.173913,28.77083333,0.41591929,75.441667,59.583333,18.1875,0.576035783,63.033333,74.777778,22.29166667,0.321666438,73.308696,66.173913,22.29166667,0.321666438,73.308696,66.173913,22.29166667,0.321666438,73.308696,66.173913
2013-06-23,21.75,0.135660217,75.783333,61.125,26.04166667,0.200998191,78.604167,53.875,18.47555556,0.507572405,63.5,75.55,21.75,0.135660217,75.783333,61.125,21.75,0.135660217,75.783333,61.125,21.75,0.135660217,75.783333,61.125
2013-06-24,17,0.162521648,77.820833,54.083333,27.08333333,0.248451907,79.533333,46.416667,22.50208333,0.460916818,66.2,70.090909,17,0.162521648,77.820833,54.083333,17,0.162521648,77.820833,54.083333,17,0.162521648,77.820833,54.083333
2013-06-25,12.81666667,0.19719437,77.4125,51.208333,16.875,0.303263207,80.016667,38.75,22.02083333,0.789974681,65.33,68.45,12.81666667,0.19719437,77.4125,51.208333,12.81666667,0.19719437,77.4125,51.208333,12.81666667,0.19719437,77.4125,51.208333
2013-06-26,13.125,0.340880499,73.85,62.625,18.325,0.446525835,78.075,47.458333,14.12708333,0.831157672,61.485714,78.333333,13.125,0.340880499,73.85,62.625,13.125,0.340880499,73.85,62.625,13.125,0.340880499,73.85,62.625
2013-06-27,15,0.318825188,72.858333,67.541667,23.74166667,0.67363965,74.929167,59.791667,10.36666667,0.563272709,62.813636,76.227273,15,0.318825188,72.858333,67.541667,15,0.318825188,72.858333,67.541667,15,0.318825188,72.858333,67.541667
2013-06-28,18.29166667,0.272826389,73.4125,64.708333,23.7875,0.332401702,76.7625,54.833333,17.19583333,0.672669151,64.591667,70.041667,18.29166667,0.272826389,73.4125,64.708333,18.29166667,0.272826389,73.4125,64.708333,18.29166667,0.272826389,73.4125,64.708333
2013-06-29,13.325,0.150409027,76.8125,52.166667,19.94166667,0.278008863,79.1875,45.208333,12.72916667,0.475623673,66.373913,62.608696,13.325,0.150409027,76.8125,52.166667,13.325,0.150409027,76.8125,52.166667,13.325,0.150409027,76.8125,52.166667
2013-06-30,6.917391304,0.231525159,79.104167,42.666667,12.40833333,0.334341329,80.754167,34.208333,8.869565217,0.58823346,68.709091,56.227273,6.917391304,0.231525159,79.104167,42.666667,6.917391304,0.231525159,79.104167,42.666667,6.917391304,0.231525159,79.104167,42.666667
2013-07-01,5.816666667,0.268468351,78.354167,42.333333,12.41666667,0.230597776,79.866667,34.583333,11.36458333,0.515478724,68.772222,57.611111,5.816666667,0.268468351,78.354167,42.333333,5.816666667,0.268468351,78.354167,42.333333,5.816666667,0.268468351,78.354167,42.333333
2013-07-02,13.32916667,0.377740199,75.766667,50.416667,17.325,0.511258315,78.070833,41.541667,16.84166667,0.571820297,63.330435,70.565217,13.32916667,0.377740199,75.766667,50.416667,13.32916667,0.377740199,75.766667,50.416667,13.32916667,0.377740199,75.766667,50.416667
2013-07-03,14.74166667,0.107785175,76.9125,50.666667,22.91666667,0.354532446,80.883333,42.833333,25.85416667,0.660764794,64.95,67.909091,14.74166667,0.107785175,76.9125,50.666667,14.74166667,0.107785175,76.9125,50.666667,14.74166667,0.107785175,76.9125,50.666667
2013-07-04,8.729166667,0.265765455,83.1875,38.25,17.45833333,0.40778415,79.854167,55.458333,12.47083333,0.35379552,71.038889,54.722222,8.729166667,0.265765455,83.1875,38.25,8.729166667,0.265765455,83.1875,38.25,8.729166667,0.265765455,83.1875,38.25
2013-07-05,9.5,0.255307421,81.779167,40.166667,17.825,0.372231527,82.278261,47.695652,12.45652174,0.427388241,67.894118,60.235294,9.5,0.255307421,81.779167,40.166667,9.5,0.255307421,81.779167,40.166667,9.5,0.255307421,81.779167,40.166667
2013-07-06,9.954545455,0.185151843,83.283333,37.541667,17.14090909,0.311453039,83.604167,41.041667,16.75833333,0.571074964,72.6,50.227273,9.954545455,0.185151843,83.283333,37.541667,9.954545455,0.185151843,83.283333,37.541667,9.954545455,0.185151843,83.283333,37.541667
2013-07-07,7.25,0.224716676,87.145833,32.583333,14.70833333,0.842572958,87.2,36.333333,13.9375,0.65045483,76.057895,42.526316,7.25,0.224716676,87.145833,32.583333,7.25,0.224716676,87.145833,32.583333,7.25,0.224716676,87.145833,32.583333
2013-07-08,4.8,0.265765455,88.579167,42.291667,14.89583333,1.030513683,86.208333,50,11.29787234,0.459002321,71.461111,55.666667,4.8,0.265765455,88.579167,42.291667,4.8,0.265765455,88.579167,42.291667,4.8,0.265765455,88.579167,42.291667
2013-07-09,6.430434783,0.345923161,84.083333,55.791667,12.53333333,0.609091479,83.241667,57.875,11.01136364,0.484159223,74.415789,57.157895,6.430434783,0.345923161,84.083333,55.791667,6.430434783,0.345923161,84.083333,55.791667,6.430434783,0.345923161,84.083333,55.791667
