Datetime,Imputed_PM25_15,Imputed_AOD_15,NDVI_2019_15,CWVDailyMean_2019_15,TempDailyMean_2019_15,RHDailyMean_2019_15,WSDailyMean_2019_15,WDDailyMean_2019_15,PressureDailyMean_2019_15,BLHDailyMean_2019_15
2019-03-02 00:00,140.2065217,0.663410763,0.334281629,0.4085,288.3883057,74.3306427,1.462681055,60.59573364,990.8779688,250.975174
2019-03-03 00:00,61.57608696,0.663410763,0.323210619,1.8845,289.1975098,80.25196838,1.681623459,85.15597534,987.8173438,324.2009277
2019-03-04 00:00,75.07291667,1.184476812,0.311533269,2.438,290.2088623,80.48316956,2.345418453,321.9673157,985.0421875,369.1048584
2019-03-05 00:00,75.23958333,0.599181805,0.300609691,1.3745,289.5762329,73.45251465,2.805603743,311.5358276,985.9110156,527.3292847
2019-03-06 00:00,72.98913043,0.299,0.2918,1.4365,289.5793762,67.55261993,2.671615839,302.3118591,987.0964063,538.0111084
2019-03-07 00:00,106.1458333,0.297245855,0.286145683,1.1475,290.0823975,64.1410141,1.931072354,337.6142578,987.4428125,411.4820557
2019-03-08 00:00,84.52083333,0.663410763,0.283413729,1.2595,291.0382385,62.62169647,2.179600239,8.307229042,989.1134375,386.3607788
2019-03-09 00:00,65.14583333,0.3725,0.283052502,1.8225,291.7689819,59.88433456,3.063993692,340.3439941,989.0264844,476.5665283
2019-03-10 00:00,82.77631579,0.139,0.284510366,1.107,291.2086182,56.47163391,2.276385307,330.4451904,989.1326563,469.0331726
2019-03-11 00:00,81.45833333,0.663410763,0.287235684,0.258,292.2348633,62.30444336,3.325538158,100.5804138,988.7473438,433.253418
2019-03-12 00:00,47.82291667,0.30601144,0.29067682,0.9995,292.4301147,60.60288239,2.425569534,353.7280273,990.835625,573.4921875
2019-03-13 00:00,84.11458333,0.663410763,0.294282137,0.148,292.0242004,61.3659668,2.128641844,349.4014893,990.9173438,241.7439423
2019-03-14 00:00,98.22916667,0.663410763,0.2975,1.201,291.083252,66.9017868,2.711813927,347.6209106,991.9384375,344.0666504
2019-03-15 00:00,60.93181818,0.309,0.299892252,1.4645,291.3980103,66.18968201,2.807666063,326.4332275,992.9201563,522.5393677
2019-03-16 00:00,64.86363636,0.663410763,0.301474658,0.6885,291.9806213,58.15823364,2.688437462,313.7543335,991.6545313,417.9620972
2019-03-17 00:00,90.6875,0.272267553,0.302376461,1.3975,292.9485168,54.98488998,2.185626745,312.6141968,989.7734375,484.6291199
2019-03-18 00:00,100.75,0.3215,0.302726907,1.3745,293.1896362,55.78554535,1.983964682,320.6427612,989.3364063,421.8318481
